0,Oracle,65.32
1,Oracle,65.32
2,IBM,54.32
3,Sun,32.56
4,Sun,32.56
5,IBM,12.99
6,Oracle,65.32
7,Oracle,65.32
8,Sun,32.56
9,Sun,32.56
10,Oracle,65.32
11,IBM,54.32
12,IBM,12.99
13,Oracle,65.32
14,IBM,54.32
15,Sun,32.56
16,Oracle,65.32
17,Sun,32.56
18,Sun,32.56
19,Sun,32.56
20,Oracle,65.32
21,Sun,32.56
22,Oracle,65.32
23,Sun,32.56
24,Sun,32.56
25,IBM,54.32
26,Sun,32.56
27,IBM,12.99
28,IBM,54.32
29,IBM,12.99
30,IBM,12.99
31,IBM,54.32
32,IBM,54.32
33,IBM,12.99
34,Oracle,65.32
35,Oracle,65.32
36,Oracle,65.32
37,Sun,32.56
38,IBM,54.32
39,Sun,32.56
40,Sun,32.56
41,IBM,54.32
42,IBM,12.99
43,Oracle,65.32
44,IBM,12.99
45,Oracle,65.32
46,Oracle,65.32
47,IBM,12.99
48,IBM,54.32
49,Sun,32.56
50,Sun,32.56
51,IBM,12.99
52,Oracle,65.32
53,Oracle,65.32
54,IBM,12.99
55,Oracle,65.32
56,IBM,12.99
57,Sun,32.56
58,IBM,12.99
59,IBM,12.99
60,Oracle,65.32
61,Oracle,65.32
62,Oracle,65.32
63,Sun,32.56
64,Oracle,65.32
65,Sun,32.56
66,Oracle,65.32
67,IBM,12.99
68,IBM,54.32
69,Oracle,65.32
70,IBM,54.32
71,IBM,54.32
72,Sun,32.56
73,Oracle,65.32
74,Oracle,65.32
75,Sun,32.56
76,Sun,32.56
77,IBM,12.99
78,Oracle,65.32
79,IBM,54.32
80,Sun,32.56
81,IBM,54.32
82,Sun,32.56
83,IBM,54.32
84,IBM,12.99
85,Oracle,65.32
86,IBM,12.99
87,Oracle,65.32
88,Oracle,65.32
89,Sun,32.56
90,IBM,54.32
91,Sun,32.56
92,IBM,54.32
93,IBM,54.32
94,Oracle,65.32
95,IBM,12.99
96,Oracle,65.32
97,Oracle,65.32
98,Sun,32.56
99,IBM,54.32
100,Oracle,65.32
101,Sun,32.56
102,IBM,54.32
103,Sun,32.56
104,Oracle,65.32
105,Sun,32.56
106,IBM,12.99
107,Oracle,65.32
108,IBM,12.99
109,Oracle,65.32
110,IBM,54.32
111,IBM,54.32
112,Sun,32.56
113,Sun,32.56
114,IBM,54.32
115,Sun,32.56
116,Sun,32.56
117,Sun,32.56
118,Oracle,65.32
119,Sun,32.56
120,IBM,54.32
121,IBM,54.32
122,Oracle,65.32
123,IBM,12.99
124,Oracle,65.32
125,Sun,32.56
126,Oracle,65.32
127,Oracle,65.32
128,Oracle,65.32
129,Oracle,65.32
130,Sun,32.56
131,Oracle,65.32
132,Oracle,65.32
133,IBM,12.99
134,Sun,32.56
135,Oracle,65.32
136,IBM,54.32
137,Oracle,65.32
138,IBM,54.32
139,Oracle,65.32
140,Oracle,65.32
141,Sun,32.56
142,IBM,54.32
143,IBM,12.99
144,Oracle,65.32
145,Oracle,65.32
146,Oracle,65.32
147,Oracle,65.32
148,Sun,32.56
149,Sun,32.56
150,IBM,54.32
151,Sun,32.56
152,IBM,54.32
153,Oracle,65.32
154,Sun,32.56
155,Sun,32.56
156,Oracle,65.32
157,Oracle,65.32
158,IBM,54.32
159,IBM,54.32
160,Oracle,65.32
161,Oracle,65.32
162,Sun,32.56
163,Sun,32.56
164,Sun,32.56
165,Oracle,65.32
166,Oracle,65.32
